,Fault #1,Fault #2,Fault #3,Fault #4,Fault #5,Fault #6
Fault #1,0.0,9.24556412604863,12.40032739266257,6.959394074809685,10.022676401698009,10.37021735228142
Fault #2,9.24556412604863,0.0,8.35586544124308,6.169794179255587,7.211336029470825,1.845548844459662
Fault #3,12.40032739266257,8.35586544124308,0.0,9.528003924519641,9.208369753460016,8.555336482598527
Fault #4,6.959394074809685,6.169794179255587,9.528003924519641,0.0,4.300348106844334,7.448840562024441
Fault #5,10.022676401698009,7.211336029470825,9.208369753460016,4.300348106844334,0.0,7.891616369657639
Fault #6,10.370217352281418,1.8455488444596624,8.555336482598527,7.44884056202444,7.891616369657639,0.0
