Fold,Global_RF,Hierarchical,Improvement
1,0.6666666666666666,0.6666666666666666,0.0
2,1.0,1.0,0.0
3,1.0,0.6666666666666666,-0.33333333333333337
4,0.9166666666666666,0.9166666666666666,0.0
