Model,Fold_1,Fold_2,Fold_3,Fold_4,Mean_Accuracy,Std_Deviation
RF_500_balanced,0.6666666666666666,1.0,1.0,0.9166666666666666,0.8958333333333333,0.13661330258962504
RF_500_all,0.6666666666666666,1.0,1.0,0.9166666666666666,0.8958333333333333,0.13661330258962504
RF_1000_balanced,0.6666666666666666,1.0,1.0,0.9166666666666666,0.8958333333333333,0.13661330258962504
RF_500_sqrt,0.6666666666666666,1.0,0.9583333333333334,0.9166666666666666,0.8854166666666666,0.12968645414571597
RF_1000_sqrt,0.6666666666666666,1.0,0.9583333333333334,0.9166666666666666,0.8854166666666666,0.12968645414571597
RF_500_log2,0.6666666666666666,1.0,0.9583333333333334,0.9166666666666666,0.8854166666666666,0.12968645414571597
