,fault_a_mean,fault_b_mean,absolute_difference,effect_size
s3_error_count,0.0,4.0,4.0,5.5677643628300215
OR_avg_bit_errors,0.75,2.0,1.25,2.404907917062988
total_bit_errors,6.0,16.0,10.0,2.404907917062988
OR_bit_errors,6.0,16.0,10.0,2.404907917062988
avg_bit_errors,0.1875,0.5,0.3125,2.404907917062988
total_result_errors,4.625,7.5,2.875,2.225171653803115
OR_result_errors,4.625,7.5,2.875,2.225171653803115
error_rate,0.14453125,0.234375,0.08984375,2.225171653803115
error_vectors,4.625,7.5,2.875,2.225171653803115
OR_error_rate,0.578125,0.9375,0.359375,2.225171653803115
s2_error_count,2.0,4.0,2.0,1.760681686165901
max_bit_errors,1.875,2.9375,1.0625,1.5436038241587273
OR_max_bit_errors,1.875,2.9375,1.0625,1.5436038241587273
s1_error_count,2.0,4.0,2.0,0.8803408430829505
s0_error_count,2.0,4.0,2.0,0.6224949798994367
expected_carry_count,1.75,1.75,0.0,0.0
actual_carry_count,1.75,1.75,0.0,0.0
total_carry_errors,0.0,0.0,0.0,
avg_A,7.5,7.5,0.0,
avg_B,7.5,7.5,0.0,
avg_OP,1.5,1.5,0.0,
A_ones_total,64.0,64.0,0.0,
B_ones_total,64.0,64.0,0.0,
ADD_tests,8.0,8.0,0.0,
ADD_result_errors,0.0,0.0,0.0,
ADD_carry_errors,0.0,0.0,0.0,
ADD_bit_errors,0.0,0.0,0.0,
ADD_error_rate,0.0,0.0,0.0,
ADD_avg_bit_errors,0.0,0.0,0.0,
ADD_max_bit_errors,0.0,0.0,0.0,
AND_tests,8.0,8.0,0.0,
AND_result_errors,0.0,0.0,0.0,
AND_carry_errors,0.0,0.0,0.0,
AND_bit_errors,0.0,0.0,0.0,
AND_error_rate,0.0,0.0,0.0,
AND_avg_bit_errors,0.0,0.0,0.0,
AND_max_bit_errors,0.0,0.0,0.0,
OR_tests,8.0,8.0,0.0,
OR_carry_errors,0.0,0.0,0.0,
XOR_tests,8.0,8.0,0.0,
XOR_result_errors,0.0,0.0,0.0,
XOR_carry_errors,0.0,0.0,0.0,
XOR_bit_errors,0.0,0.0,0.0,
XOR_error_rate,0.0,0.0,0.0,
XOR_avg_bit_errors,0.0,0.0,0.0,
XOR_max_bit_errors,0.0,0.0,0.0,
