,fault_a_mean,fault_b_mean,absolute_difference,effect_size
max_bit_errors,1.875,0.0,1.875,4.353596713962617
OR_max_bit_errors,1.875,0.0,1.875,4.353596713962617
s2_error_count,2.0,0.0,2.0,3.9370039370059056
OR_error_rate,0.578125,0.0,0.578125,3.726540933606249
OR_result_errors,4.625,0.0,4.625,3.726540933606249
total_result_errors,4.625,0.0,4.625,3.726540933606249
total_bit_errors,6.0,0.0,6.0,3.275785284595013
OR_bit_errors,6.0,0.0,6.0,3.275785284595013
OR_avg_bit_errors,0.75,0.0,0.75,3.275785284595013
avg_bit_errors,0.1875,0.0,0.1875,3.275785284595013
total_carry_errors,0.0,1.75,1.75,3.2478625449841796
actual_carry_count,1.75,0.0,1.75,3.2478625449841796
ADD_error_rate,0.0,0.21875,0.21875,3.2478625449841796
ADD_carry_errors,0.0,1.75,1.75,3.2478625449841796
error_vectors,4.625,1.75,2.875,2.124886625635864
error_rate,0.14453125,0.0546875,0.08984375,2.124886625635864
s1_error_count,2.0,0.0,2.0,1.9685019685029528
s0_error_count,2.0,0.0,2.0,1.3919410907075054
expected_carry_count,1.75,1.75,0.0,0.0
avg_A,7.5,7.5,0.0,
avg_B,7.5,7.5,0.0,
avg_OP,1.5,1.5,0.0,
A_ones_total,64.0,64.0,0.0,
B_ones_total,64.0,64.0,0.0,
ADD_tests,8.0,8.0,0.0,
ADD_result_errors,0.0,0.0,0.0,
ADD_bit_errors,0.0,0.0,0.0,
ADD_avg_bit_errors,0.0,0.0,0.0,
ADD_max_bit_errors,0.0,0.0,0.0,
AND_tests,8.0,8.0,0.0,
AND_result_errors,0.0,0.0,0.0,
AND_carry_errors,0.0,0.0,0.0,
AND_bit_errors,0.0,0.0,0.0,
AND_error_rate,0.0,0.0,0.0,
AND_avg_bit_errors,0.0,0.0,0.0,
AND_max_bit_errors,0.0,0.0,0.0,
OR_tests,8.0,8.0,0.0,
OR_carry_errors,0.0,0.0,0.0,
XOR_tests,8.0,8.0,0.0,
XOR_result_errors,0.0,0.0,0.0,
XOR_carry_errors,0.0,0.0,0.0,
XOR_bit_errors,0.0,0.0,0.0,
XOR_error_rate,0.0,0.0,0.0,
XOR_avg_bit_errors,0.0,0.0,0.0,
XOR_max_bit_errors,0.0,0.0,0.0,
s3_error_count,0.0,0.0,0.0,
